,ID,Drug,Resistant,Lineage
53951,Sample No 3211198_IonXpress_020,rif,0,1.1.1.2
54692,Sample No 321262_IonXpress_017.sorted,rif,0,1.1.1.2
54900,Sample No 3211517.IonXpress_020.sorted,rif,0,1.1.1.2
55095,Sample No 321769_IonXpress_019,rif,0,1.1.1.2
58475,SAmple No 3213118.IonXpress_027.sorted,rif,0,1.1.1.2
60178,Test278,rif,0,1.1.1.2
62674,Sample No 3211856.IonXpress_025.sorted,rif,0,1.1.1.2
76623,Sample No 3211392.IonXpress_018.sorted,rif,0,1.1.1.2
80783,Sample No 3213642.IonXpress_030 (1).sorted,rif,0,1.1.1.2
80822,Sample no 3211956.IonXpress_026.sorted,rif,0,1.1.1.2
81667,SAmple No 3211453.IonXpress_019.sorted,rif,0,1.1.1.2
83994,Test355,rif,0,1.1.1.2
84033,Test354,rif,0,1.1.1.2
91872,Test1010,rif,0,1.1.1.2
54913,CS5523-LDJ7596-W1_L3_1.fq.sorted,rif,1,1.1.1.2
36440,Sample No 3212598.IonXpress_023.sorted,rif,0,"1.1.1.2,4.2.1.1.1.1.1.1.i2"
62544,An-1.R1.sorted,rif,0,"1.1.1.2.i1,2.2.1.1.1.i3"
300,3213123_IonXpress_027,rif,0,1.1.2
3394,IonXpress_002_2020_10_11_sample No 2162.sorted,rif,0,1.1.2
6371,WGS_TB_09-06-2020_sample no 2311.sorted,rif,0,1.1.2
12455,KP102,rif,0,1.1.2
12494,WGS_TB_12-07-2020_sample no 2453.sorted,rif,0,1.1.2
12637,KP154,rif,0,1.1.2
